Symbol	Ensembl_gene_ID	NCBI_gene_ID	HGNC_ID
RBCK1	ENSG00000125826	10616	HGNC:15864
CDC42EP2	ENSG00000149798	10435	HGNC:16263
ZNF598	ENSG00000167962	90850	HGNC:28079
NUTM2G	ENSG00000188152	441457	HGNC:23449
NUTM2F	ENSG00000130950	54754	HGNC:23450
PHRF1	ENSG00000070047	57661	HGNC:24351
GAS2L2	ENSG00000270765	246176	HGNC:24846
CLIC2	ENSG00000155962	1193	HGNC:2063
ZNF75A	ENSG00000162086	7627	HGNC:13146
CLTC	ENSG00000141367	1213	HGNC:2092
NFIB	ENSG00000147862	4781	HGNC:7785
PAPSS1	ENSG00000138801	9061	HGNC:8603
CASQ1	ENSG00000143318	844	HGNC:1512
SLC9C2	ENSG00000162753	284525	HGNC:28664
LRP6	ENSG00000070018	4040	HGNC:6698
H1-7	ENSG00000187166	341567	HGNC:24893
GALT	ENSG00000213930	2592	HGNC:4135
BRD4	ENSG00000141867	23476	HGNC:13575
HLA-DRB1	ENSG00000196126	3123	HGNC:4948
TAF1A	ENSG00000143498	9015	HGNC:11532
PIM2	ENSG00000102096	11040	HGNC:8987
TRAF3IP3	ENSG00000009790	80342	HGNC:30766
TCF25	ENSG00000141002	22980	HGNC:29181
PALB2	ENSG00000083093	79728	HGNC:26144
CLIC3	ENSG00000169583	9022	HGNC:2064
TUBA1C	ENSG00000167553	84790	HGNC:20768
ETNK2	ENSG00000143845	55224	HGNC:25575
TRIM64	ENSG00000204450	120146	HGNC:14663
TRIM64B	ENSG00000189253	642446	HGNC:37147
PKD2L1	ENSG00000107593	9033	HGNC:9011
ATL3	ENSG00000184743	25923	HGNC:24526
TAS2R30	ENSG00000256188	259293	HGNC:19112
SLC5A12	ENSG00000148942	159963	HGNC:28750
SIRT3	ENSG00000142082	23410	HGNC:14931
LMNA	ENSG00000160789	4000	HGNC:6636
AMER2	ENSG00000165566	219287	HGNC:26360
ZNF273	ENSG00000198039	10793	HGNC:13067
LOC441239	ENSG00000189316	441239	""
ZNF875	ENSG00000181666	284459	HGNC:4928
KLK3	ENSG00000142515	354	HGNC:6364
MSH2	ENSG00000095002	4436	HGNC:7325
KLHL32	ENSG00000186231	114792	HGNC:21221
SELENOV	ENSG00000186838	348303	HGNC:30399
PRR5-ARHGAP8	ENSG00000248405	553158	HGNC:34512
ARHGAP8	ENSG00000241484	23779	HGNC:677
ZNF182	ENSG00000147118	7569	HGNC:13001
GGT5	ENSG00000099998	2687	HGNC:4260
HAUS4	ENSG00000092036	54930	HGNC:20163
SLC8A3	ENSG00000100678	6547	HGNC:11070
TP53BP1	ENSG00000067369	7158	HGNC:11999
KCNMB1	ENSG00000145936	3779	HGNC:6285
ERBB2	ENSG00000141736	2064	HGNC:3430
NUPR2	ENSG00000185290	389493	HGNC:44164
C19orf47	ENSG00000160392	126526	HGNC:26723
ZCCHC4	ENSG00000168228	29063	HGNC:22917
H2BC13	ENSG00000185130	8340	HGNC:4748
H2AJ	ENSG00000246705	55766	HGNC:14456
GSX1	ENSG00000169840	219409	HGNC:20374
CLNK	ENSG00000109684	116449	HGNC:17438
PKHD1	ENSG00000170927	5314	HGNC:9016
C12orf4	ENSG00000047621	57102	HGNC:1184
MTHFD1L	ENSG00000120254	25902	HGNC:21055
COL4A1	ENSG00000187498	1282	HGNC:2202
ENTPD6	ENSG00000197586	955	HGNC:3368
SULT4A1	ENSG00000130540	25830	HGNC:14903
OR51D1	ENSG00000197428	390038	HGNC:15193
POC5	ENSG00000152359	134359	HGNC:26658
EBNA1BP2	ENSG00000117395	10969	HGNC:15531
RSU1	ENSG00000148484	6251	HGNC:10464
TET2	ENSG00000168769	54790	HGNC:25941
RPS13	ENSG00000110700	6207	HGNC:10386
SPRY4	ENSG00000187678	81848	HGNC:15533
LOC105372295			
MED26	ENSG00000105085	9441	HGNC:2376
TUSC7	ENSG00000243197	285194	HGNC:27701
AHCYL1	ENSG00000168710	10768	HGNC:344
MFSD5	ENSG00000182544	84975	HGNC:28156
OR2T6	ENSG00000198104	254879	HGNC:15018
RPS15A	ENSG00000134419	6210	HGNC:10389
SLX4	ENSG00000188827	84464	HGNC:23845
UBAC1	ENSG00000130560	10422	HGNC:30221
DEK	ENSG00000124795	7913	HGNC:2768
THAP7	ENSG00000184436	80764	HGNC:23190
SPAM1	ENSG00000106304	6677	HGNC:11217
LMF2	ENSG00000100258	91289	HGNC:25096
FABP6	ENSG00000170231	2172	HGNC:3561
MMP9	ENSG00000100985	4318	HGNC:7176
KCNN3	ENSG00000143603	3782	HGNC:6292
